year,dimd,sex,<1,01-04,05-09,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90+     
2001,1,Male,"37,667","157,457","199,783","199,234","179,290","165,475","176,998","196,893","182,196","155,734","136,863","136,797","112,861","107,539","95,721","81,712","63,608","36,975","15,622","5,570"
2001,1,Female,"36,682","150,337","190,891","192,002","180,743","187,181","187,058","202,800","188,460","160,483","135,864","134,046","112,750","110,133","104,201","101,941","93,453","68,657","40,188","21,658"
2001,2,Male,"33,329","140,864","180,138","181,469","166,633","168,369","188,940","209,470","193,185","161,083","135,745","136,224","111,637","101,925","90,977","80,279","63,632","38,406","16,505","5,973"
2001,2,Female,"32,133","134,863","172,573","173,803","163,856","181,700","194,793","210,324","195,424","164,197","137,333","136,931","115,226","107,698","101,897","101,404","94,006","69,460","41,552","22,524"
2001,3,Male,"30,307","126,479","164,525","167,283","157,213","172,301","195,100","211,685","196,303","164,651","141,215","143,954","118,413","104,934","93,566","81,905","65,281","39,374","17,747","6,582"
2001,3,Female,"28,764","121,203","156,353","159,902","153,471","180,472","194,891","207,427","194,888","164,390","141,812","145,181","121,987","110,274","103,922","102,768","95,322","70,619","43,071","23,943"
2001,4,Male,"28,000","117,194","153,690","159,661","152,650","170,206","189,795","207,871","196,919","168,312","147,807","155,590","130,626","112,548","99,171","86,249","68,525","41,819","19,686","7,253"
2001,4,Female,"26,920","112,023","146,150","151,484","147,134","172,726","186,353","202,439","193,953","167,737","149,122","157,934","133,298","115,980","109,258","106,269","98,099","72,766","45,685","25,389"
2001,5,Male,"26,758","112,545","149,061","156,196","148,618","153,505","175,114","197,251","195,002","172,041","153,029","166,356","141,339","119,519","105,838","91,172","71,148","43,875","20,522","7,818"
2001,5,Female,"25,209","106,963","142,446","148,586","140,365","150,951","172,422","195,053","194,236","171,793","156,905","168,907","144,886","124,489","114,902","109,435","100,396","75,338","47,778","26,689"
2001,6,Male,"26,036","110,998","146,788","154,176","145,270","145,189","167,548","193,588","196,792","175,443","158,882","174,782","149,625","123,870","109,277","94,013","72,589","44,432","21,701","8,267"
2001,6,Female,"24,977","105,200","140,072","146,593","136,281","138,670","165,576","191,460","197,140","175,892","161,297","178,609","152,761","127,732","117,590","110,931","99,957","74,132","48,562","27,233"
2001,7,Male,"25,701","109,541","146,540","155,037","150,139","139,617","156,888","185,350","195,607","178,268","164,166","182,484","155,571","126,802","111,527","94,915","72,744","44,303","21,630","8,159"
2001,7,Female,"24,468","103,999","138,959","147,258","139,231","132,475","154,202","186,736","198,540","180,323","167,526","186,961","158,469","130,890","118,770","110,140","98,129","73,220","47,917","26,864"
2001,8,Male,"25,360","108,842","145,927","154,283","148,648","135,283","151,254","182,344","195,220","180,169","165,096","184,790","157,492","126,021","110,074","92,838","70,588","42,606","21,055","7,925"
2001,8,Female,"24,428","103,515","138,429","147,923","137,225","126,698","148,036","184,005","198,718","181,324","168,749","189,902","160,252","129,838","116,573","107,241","94,645","69,808","45,883","25,930"
2001,9,Male,"25,695","112,394","151,636","160,936","155,248","129,130","140,734","176,730","198,509","185,872","170,657","189,352","160,385","126,222","110,889","93,101","70,696","41,905","20,274","7,735"
2001,9,Female,"24,535","106,041","143,867","151,841","142,970","116,977","138,801","180,959","203,883","187,934","174,420","194,493","163,389","130,888","117,184","107,595","93,598","67,496","43,843","24,825"
2001,10,Male,"25,869","115,685","160,907","170,055","154,757","115,253","117,964","158,551","195,811","193,389","179,274","197,829","165,355","126,929","111,320","93,334","69,330","40,921","19,475","7,534"
2001,10,Female,"24,664","110,194","152,053","160,339","145,258","104,406","118,001","169,626","208,186","198,878","183,205","203,701","166,462","131,228","117,439","105,662","88,981","62,844","39,580","22,696"
2002,1,Male,"38,949","152,857","196,792","197,175","185,515","171,845","172,678","193,832","183,995","160,367","138,506","133,884","119,150","104,712","95,024","80,139","61,761","38,874","15,393","5,821"
2002,1,Female,"37,218","146,875","187,353","190,029","182,771","195,043","179,813","199,000","189,458","164,176","138,365","130,685","118,411","107,515","102,698","98,745","89,599","70,835","38,141","21,962"
2002,2,Male,"34,432","137,126","178,216","181,415","171,959","173,097","185,083","205,967","196,727","166,508","137,948","132,950","118,732","100,800","90,766","78,006","62,448","40,464","16,290","6,193"
2002,2,Female,"33,577","131,616","171,195","174,380","167,496","187,792","188,898","207,358","198,328","169,320","140,185","132,995","122,335","106,129","100,363","98,795","90,583","71,895","40,101","22,839"
2002,3,Male,"31,234","122,490","162,479","167,433","162,746","177,292","190,158","208,538","200,190","170,569","142,734","139,705","127,461","103,988","93,193","81,032","63,977","41,813","17,521","6,897"
2002,3,Female,"29,796","117,857","154,415","161,231","156,910","185,600","188,795","205,880","196,822","169,975","143,995","141,150","129,899","109,355","103,299","100,717","91,814","73,677","42,471","24,106"
2002,4,Male,"28,148","114,173","151,973","160,893","156,946","174,164","184,693","205,315","200,290","173,924","149,271","149,661","140,294","112,295","99,854","86,336","67,535","43,879","19,197","7,533"
2002,4,Female,"26,724","109,491","144,203","153,157","149,649","177,186","180,049","201,540","196,886","172,364","151,202","151,834","143,179","116,413","108,548","105,065","95,361","75,731","44,622","26,388"
2002,5,Male,"26,399","109,797","147,912","157,146","151,971","157,087","169,958","194,235","197,968","177,540","154,361","159,074","153,181","119,626","106,562","91,838","70,772","46,640","20,606","8,183"
2002,5,Female,"25,031","104,592","140,467","150,068","142,964","154,709","166,107","193,221","196,636","176,986","158,979","162,327","156,645","125,054","115,271","108,822","98,479","78,664","46,669","27,008"
2002,6,Male,"25,950","108,816","146,010","155,088","148,296","147,465","162,542","190,134","199,673","181,178","160,582","166,220","161,410","124,586","110,914","95,128","72,626","46,925","21,329","8,471"
2002,6,Female,"24,798","103,678","139,717","148,468","138,560","141,257","159,723","189,639","199,476","181,174","163,412","170,793","165,605","128,647","118,166","110,749","97,870","77,526","47,435","28,303"
2002,7,Male,"25,309","107,534","145,538","156,392","152,097","141,786","150,811","182,894","198,230","183,301","165,533","173,167","169,068","127,881","112,648","96,228","72,839","47,178","21,405","8,772"
2002,7,Female,"24,178","102,668","138,088","148,691","141,074","135,218","147,869","184,586","200,332","185,354","168,887","178,531","172,467","132,555","120,335","111,145","96,529","77,303","46,729","27,845"
2002,8,Male,"25,152","108,143","145,505","156,012","150,390","136,300","145,422","179,724","197,163","185,113","165,717","174,858","170,947","127,056","112,185","94,298","70,968","45,075","20,824","8,362"
2002,8,Female,"23,694","103,101","138,037","148,715","139,428","128,645","142,113","181,922","201,300","186,094","169,771","180,417","175,322","131,449","118,821","108,730","93,857","73,340","44,827","26,453"
2002,9,Male,"25,276","111,293","151,840","163,113","157,451","130,022","136,044","173,587","199,989","191,319","171,376","178,803","175,028","127,593","112,943","95,558","71,912","45,119","19,782","8,208"
2002,9,Female,"24,261","105,715","143,703","154,342","144,243","118,566","133,581","179,319","206,066","193,055","174,817","184,765","178,773","132,209","119,309","108,929","93,430","71,496","42,854","25,893"
